Epoch 1 | Train (IoU): 0.2422 | Val (IoU): 0.3272
Epoch 2 | Train (IoU): 0.3621 | Val (IoU): 0.4039
Epoch 3 | Train (IoU): 0.4104 | Val (IoU): 0.4481
Epoch 4 | Train (IoU): 0.4465 | Val (IoU): 0.4817
Epoch 5 | Train (IoU): 0.4717 | Val (IoU): 0.5008
Epoch 6 | Train (IoU): 0.4950 | Val (IoU): 0.4972
Epoch 7 | Train (IoU): 0.5093 | Val (IoU): 0.5028
Epoch 8 | Train (IoU): 0.5264 | Val (IoU): 0.5214
Epoch 9 | Train (IoU): 0.5425 | Val (IoU): 0.4992
Epoch 10 | Train (IoU): 0.5461 | Val (IoU): 0.5282
Epoch 11 | Train (IoU): 0.5592 | Val (IoU): 0.5478
Epoch 12 | Train (IoU): 0.5709 | Val (IoU): 0.5436
Epoch 13 | Train (IoU): 0.5744 | Val (IoU): 0.5744
Epoch 14 | Train (IoU): 0.5798 | Val (IoU): 0.5667
Epoch 15 | Train (IoU): 0.5871 | Val (IoU): 0.5877
Epoch 16 | Train (IoU): 0.5857 | Val (IoU): 0.5839
Epoch 17 | Train (IoU): 0.5976 | Val (IoU): 0.5919
Epoch 18 | Train (IoU): 0.6036 | Val (IoU): 0.5941
Epoch 19 | Train (IoU): 0.5967 | Val (IoU): 0.5993
Epoch 20 | Train (IoU): 0.6032 | Val (IoU): 0.5925
Epoch 21 | Train (IoU): 0.6164 | Val (IoU): 0.6004
Epoch 22 | Train (IoU): 0.6183 | Val (IoU): 0.6108
Epoch 23 | Train (IoU): 0.6094 | Val (IoU): 0.4165
Epoch 24 | Train (IoU): 0.6161 | Val (IoU): 0.6124
Epoch 25 | Train (IoU): 0.6270 | Val (IoU): 0.6119
Epoch 26 | Train (IoU): 0.6277 | Val (IoU): 0.6207
Epoch 27 | Train (IoU): 0.6305 | Val (IoU): 0.6172
Epoch 28 | Train (IoU): 0.6328 | Val (IoU): 0.6162
Epoch 29 | Train (IoU): 0.6400 | Val (IoU): 0.6212
Epoch 30 | Train (IoU): 0.6356 | Val (IoU): 0.6085
Epoch 31 | Train (IoU): 0.6416 | Val (IoU): 0.6251
Epoch 32 | Train (IoU): 0.6498 | Val (IoU): 0.6235
Epoch 33 | Train (IoU): 0.6460 | Val (IoU): 0.6254
Epoch 34 | Train (IoU): 0.6512 | Val (IoU): 0.6121
Epoch 35 | Train (IoU): 0.6523 | Val (IoU): 0.5860
Epoch 36 | Train (IoU): 0.6457 | Val (IoU): 0.6252
Epoch 37 | Train (IoU): 0.6566 | Val (IoU): 0.6261
Epoch 38 | Train (IoU): 0.6482 | Val (IoU): 0.6351
Epoch 39 | Train (IoU): 0.6642 | Val (IoU): 0.6249
Epoch 40 | Train (IoU): 0.6641 | Val (IoU): 0.6286
Epoch 41 | Train (IoU): 0.6634 | Val (IoU): 0.6323
Epoch 42 | Train (IoU): 0.6721 | Val (IoU): 0.6227
Epoch 43 | Train (IoU): 0.6560 | Val (IoU): 0.6310
Epoch 44 | Train (IoU): 0.6727 | Val (IoU): 0.6228
Epoch 45 | Train (IoU): 0.6730 | Val (IoU): 0.6291
Epoch 46 | Train (IoU): 0.6757 | Val (IoU): 0.6277
Epoch 47 | Train (IoU): 0.6816 | Val (IoU): 0.6277
Epoch 48 | Train (IoU): 0.6727 | Val (IoU): 0.6068
Epoch 49 | Train (IoU): 0.6860 | Val (IoU): 0.6283
Epoch 50 | Train (IoU): 0.6874 | Val (IoU): 0.6296
Epoch 51 | Train (IoU): 0.6842 | Val (IoU): 0.6306
Epoch 52 | Train (IoU): 0.6838 | Val (IoU): 0.6318
Epoch 53 | Train (IoU): 0.6907 | Val (IoU): 0.6282
Epoch 54 | Train (IoU): 0.6977 | Val (IoU): 0.6334
Epoch 55 | Train (IoU): 0.6953 | Val (IoU): 0.6342
Epoch 56 | Train (IoU): 0.7007 | Val (IoU): 0.6176
Epoch 57 | Train (IoU): 0.7005 | Val (IoU): 0.6257
Epoch 58 | Train (IoU): 0.7045 | Val (IoU): 0.6151
Epoch 59 | Train (IoU): 0.7012 | Val (IoU): 0.6270
Epoch 60 | Train (IoU): 0.7083 | Val (IoU): 0.6285
Epoch 61 | Train (IoU): 0.7105 | Val (IoU): 0.6257
Epoch 62 | Train (IoU): 0.7104 | Val (IoU): 0.6208
Epoch 63 | Train (IoU): 0.7110 | Val (IoU): 0.6311
Epoch 64 | Train (IoU): 0.7180 | Val (IoU): 0.6230
Epoch 65 | Train (IoU): 0.7063 | Val (IoU): 0.6198
Epoch 66 | Train (IoU): 0.7228 | Val (IoU): 0.6204
Epoch 67 | Train (IoU): 0.7211 | Val (IoU): 0.6203
Epoch 68 | Train (IoU): 0.7258 | Val (IoU): 0.6292
Epoch 69 | Train (IoU): 0.7297 | Val (IoU): 0.6196
Epoch 70 | Train (IoU): 0.7259 | Val (IoU): 0.6158
Epoch 71 | Train (IoU): 0.7316 | Val (IoU): 0.6163
Epoch 72 | Train (IoU): 0.7364 | Val (IoU): 0.5688
Epoch 73 | Train (IoU): 0.7346 | Val (IoU): 0.6315
